macroregion,REGION,COUNTRY,IWP PROGRAM,YEAR(S),OCLC,penname,drupal_family_name,drupal_given_name,drupal_nid
Asia,South-central Asia,Afghanistan,Fall Residency,1977,,,JONAID,Lutfurahman,1246
Asia,South-central Asia,Afghanistan,Fall Residency,2006,,,NADERI,Partaw,1490
Asia,South-central Asia,Afghanistan,Fall Residency,2012,,,Zegham,Mohibullah,3153
Asia,South-central Asia,Afghanistan,Fall Residency,2014,,Mujib Mehrdad,Mehrdad,Mujib,3975
Europe,Southern Europe,Albania,Fall Residency,1996,Lindita Arapi,,ARAPI,Lindita,764
Europe,Southern Europe,Albania,Fall Residency,1992,Uk Zenel Bucpapa,,Bucpapa,Uk,898
Europe,Southern Europe,Albania,Fall Residency,2006,,,ÇOÇOLI,Gentian,2353
Europe,Southern Europe,Albania,Fall Residency,1999,,,LLESHANAKU,Luljeta,1378
Europe,Southern Europe,Albania,Fall Residency,1992,,,LUBONJA,Fatos,1388
Africa,Northern Africa,Algeria,Fall Residency,1988,,,MAGANI,Mohamed,1405
The Americas,South America,Argentina,Fall Residency,1997,Jorge Accame,,ACCAME,Jorge Eduardo,744
The Americas,South America,Argentina,Fall Residency,1987,Carlos Hugo Aparicio,,Aparicio,Carlos,803
The Americas,South America,Argentina,Fall Residency,1995,Teresa Arijón,,Arijón,Teresa,809
The Americas,South America,Argentina,Fall Residency,"1972, 1973",Ricardo Rey Beckford,,Beckford,Ricardo Rey,863
The Americas,South America,Argentina,Fall Residency,"1974, 1975",Alberto O. Blasi ,,Blasi,Alberto O.,878
The Americas,South America,Argentina,Fall Residency,2007,,,BOSSI,Elena,837
The Americas,South America,Argentina,Fall Residency,2003,Leopoldo Brizuela,,BRIZUELA,Leopoldo,839
The Americas,South America,Argentina,Fall Residency,1990,Enrique M Butti,,Butti,Enrique,903
The Americas,South America,Argentina,Fall Residency,2004,Victoria  Cáceres,,CÁCERES,Victoria,990
The Americas,South America,Argentina,Fall Residency,1998,,,CASAS,Fabián,915
The Americas,South America,Argentina,Fall Residency,"1967, 1968",,,CRANWELL,Elizabeth Azcona,979
The Americas,South America,Argentina,Fall Residency,2011,,,CRISTOFF,Maria Sonia,1941
The Americas,South America,Argentina,Fall Residency,1993,,,DELANEY,Juan Jose,1009
The Americas,South America,Argentina,Fall Residency,1985,,,DIACONÚ,Alina,1016
The Americas,South America,Argentina,Fall Residency,"1977, 1987",,,ESTEVE,Patricio,1061
The Americas,South America,Argentina,Fall Residency,2012,,,Falco,Federico,3115
The Americas,South America,Argentina,Fall Residency,1994,,,FEILING,Carlos,1073
The Americas,South America,Argentina,Fall Residency,1996,,,FRESAN,Rodrigo,1088
The Americas,South America,Argentina,Fall Residency,1971,,,FUTORANSKY,Luisa,1090
The Americas,South America,Argentina,Fall Residency,2008,,,GAMERRO,Carlos,1097
The Americas,South America,Argentina,Fall Residency,2010,,,GARCES,Gonzalo,1099
The Americas,South America,Argentina,Fall Residency,1988,,,GORODISCHER,Angelica,1122
The Americas,South America,Argentina,Fall Residency,1970,,,LIBERTELLA,Héctor,1368
The Americas,South America,Argentina,Fall Residency,1996,,,LYSYJ,Viviana Irene,1392
The Americas,South America,Argentina,Fall Residency,2002,,,MARTINEZ,Guillermo,1416
The Americas,South America,Argentina,Fall Residency,2010,,,OLOIXARAC,Pola,1549
The Americas,South America,Argentina,Fall Residency,1982,,,PIÑA,Cristina,1595
The Americas,South America,Argentina,Fall Residency,2001,,,PUJOL,Sergio Alejandro,1611
The Americas,South America,Argentina,Fall Residency,1979,,,RABANAL,Rodolfo,1624
The Americas,South America,Argentina,Fall Residency,1973,,,RAWSON,Alicia Dellapiane,1641
The Americas,South America,Argentina,Fall Residency,1978,,,Real,Juan Carlos Real *,1676
The Americas,South America,Argentina,Fall Residency,2000,,,REJTMAN,Martin,1647
The Americas,South America,Argentina,Fall Residency,1981,,,ROFFÉ,Reina,1662
The Americas,South America,Argentina,Fall Residency,1995,,,Schettini,Ariel,2460
The Americas,South America,Argentina,Fall Residency,1984,,,SOLA,Marcela,2426
The Americas,South America,Argentina,Fall Residency,1983,,,STEIMBERG,Alicia,2438
The Americas,South America,Argentina,Fall Residency,1968,,,TASCA,Susana,2469
The Americas,South America,Argentina,Fall Residency,1969,,,VALENZUELA,Luisa,2499
The Americas,South America,Argentina,Fall Residency,1980,,,VANASCO,Alberto,2506
The Americas,South America,Argentina,Fall Residency,1968,,,VEIRAVÉ,Alfredo,2511
The Americas,South America,Argentina,Fall Residency,1976,,,VILLORDO,Oscar Hermes,2520
The Americas,South America,Argentina,Fall Residency,1992,,,ZAVALETA,Jorge Torres,2569
The Americas,South America,Argentina,Fall Residency,2014,,Cynthia Edul,Cynthia,EDUL,3885
The Americas,South America,Argentina/ United States,Fall Residency,"1975, 1978",,,IRAMAIN,Leonardo,1224
Asia,Western Asia,Armenia,Fall Residency,2009,,,GRIGORYAN,Violet,1132
Asia,Western Asia,Armenia,Fall Residency,1991,,,ZEYTOUNTSIAN,Berj & Liliana,2570
Oceania,Oceania,Australia,Fall Residency,1995,,,CLOSE,Alan,963
Oceania,Oceania,Australia,Fall Residency,1994,,,Kinsella,John,1341
Oceania,Oceania,Australia,Fall Residency,2005,,,MATEER,John,1422
Oceania,Oceania,Australia,Fall Residency,2009,,,PUNG,Alice,1613
Oceania,Oceania,Australia,Fall Residency,2011,,,ROWE,Josephine,1980
Oceania,Oceania,Australia,Fall Residency,1994,,,WOOLFE,Sue,2544
Oceania,Oceania,Australia,Fall Residency,2005,,,WRIGHT,Wendy Ella,2330
Oceania,Oceania,Australia,Fall Residency,1996,,,ZIMDAHL,Catherine,2350
Oceania,Oceania,Australia,Fall Residency,2014,,Ali Cobby Eckermann,Eckermann,Ali,3890
