id,cshapes_cntry,author_country,marker_name,marker_lat,marker_lon,
,Niger,Nigeria,Abuja,9.9436942466,6.7238370769,"9.943694246573246, 6.723837076902712"
,United Kingdom,Northern Ireland,London,47.4921714058,-0.0580696367,"47.492171405800875, -0.05806963669922726"
,Norway,Norway,Oslo,52.4620734624,6.0868194933,"52.462073462431555, 6.08681949326543"
,Pakistan,Pakistan,Islamabad,34.1528163459,58.3377983658,"34.152816345946825, 58.337798365758665"
,Israel,Palestinian Territories,Ramallah,32.8312277406,28.607721627," 32.83122774057545, 28.607721626979053"
,Panama,Panama,Panama City,10.0049029666,-70.9923081268,"10.004902966597788, -70.99230812684726"
,Papua New Guinea,Papua New Guinea,Port Moresby,-10.754134761,131.5482094413,"-10.754134760990686, 131.5482094413424"
,Paraguay,Paraguay,Asuncion,-25.8289665198,-48.6034706141,"-25.828966519765565, -48.60347061413163"
,Peru,Perú,Lima,-11.9195036819,-68.5374598777,"-11.919503681871042, -68.53745987770843"
,Philippines,Philippines,Manila,16.1685062364,106.5802275656,"16.168506236387916, 106.58022756560746"
,Poland,Poland,Warsaw,48.0664012661,13.6533454257,"48.06640126608376, 13.653345425737689"
,Portugal,Portugal,Lisbon,38.4700497524,7.0808000709,"38.47004975238058, -7.080800070944535"
,Romania,Romania,Bukarest,42.806235291,19.0136153368,"42.806235291010815, 19.013615336831986"
,Russia,Russia,Moscow,50.8133999931,25.7100684721,"50.81339999312512, 25.71006847214112"
,Rwanda,Rwanda,Kigali,-2.128275522,27.022946175,"-2.128275521993887, 27.022946175003355"
,Saudi Arabia,Saudi Arabia,Riyadh,24.5280320984,38.5125682018,"24.528032098355887, 38.51256820182721"
,United Kingdom,Scotland,London,47.4921714058,-0.0580696367,"47.492171405800875, -0.05806963669922726"
,Senegal,Senegal,Dakar,16.0714863739,-15.0124458379,"16.071486373949547, -15.012445837940609"
,Serbia and Montenegro,Serbia and Montenegro,Belgrade,42.9883475527,14.7564734364,"42.98834755265135, 14.756473436426647"
,Sierra Leone,Sierra Leone,Freetown,9.2619893839,-11.5709971849," 9.261989383944627, -11.570997184875711"
,Singapore,Singapore,Singapore City,1.4950737599,93.354344198,"1.4950737599142483, 93.35434419801604"
,Slovakia,Slovak Republic,Bratislava,45.4159592764,12.0374959453,"45.415959276374984, 12.037495945291834"
,Slovakia,Slovakia,Bratislava,45.4159592764,12.0374959453,
,Slovenia,Slovenia,Ljubljana,43.9132248857,10.5148685503,"43.91322488573394, 10.51486855025637"
,South Africa,South Africa,Pretoria,-26.5817225939,24.2806631625,"-26.581722593872932, 24.28066316251597"
,South Korea,South Korea,Seoul,37.5273197204,98.9670905904,"37.52731972040563, 98.96709059043002"
,Spain,Spain,Madrid,39.8314848023,-2.6449825068,"39.83148480227027, -2.644982506836044"
,Sri Lanka,Sri Lanka,Colombo,7.6483898511,71.6763250866,"7.648389851142385, 71.6763250865542"
,Sudan,Sudan,Khartoum,16.474178915,28.2581388067,"16.474178915026396, 28.258138806690294"
,Sweden,Sweden,Stockholm,52.1771619008,10.561479593,"52.17716190078816, 10.561479592961547"
,Switzerland,Switzerland,Bern,44.5256401249,5.3876538527,"44.52564012493981, 5.387653852687873"
,Syria,Syria,Damascus,34.1913801864,29.2602762249,"34.1913801864004, 29.26027622485139"
,Taiwan,Taiwan,Taipei,26.3727647617,102.773659078,"26.372764761699795, 102.77365907801875"
,Tanzania,Tanzania,Dodoma,-6.7547465464,31.7695040238,"-6.754746546399473, 31.769504023812935"
,Thailand,Thailand,Bangkok,15.1887105326,88.7903462665,"15.188710532571005, 88.79034626646836"
,Netherlands,The Netherlands,Amsterdam,47.9962689463,3.2862726774,"47.99626894633997, 3.2862726773965667"
,China,Tibet,Lhasa,32.0971327536,75.8324763944,"32.097132753642654, 75.8324763944317"
,Togo,Togo,Lome,7.0088745628,1.0994379238,"7.008874562768653, 1.0994379238124585"
,Trinidad and Tobago,Trinidad,Port-of-Spain,11.7518500224,-54.6939801943,"11.751850022449393, -54.69398019427356"
,Turkey,Turkey,Ankara,39.3525739901,25.1507359597,"39.3525739901458, 25.150735959679093"
,Uganda,Uganda,Kampala,0.3377339371,29.1670541394," 0.3377339370990616, 29.167054139441042"
,Ukraine,Ukraine,Kiev,46.975237976,20.7537609312,"46.97523797600872, 20.75376093115827"
,United Kingdom,United Kingdom,London,47.4921714058,-0.0580696367,"47.492171405800875, -0.05806963669922726"
,United States,United States,Washington,38.7432300178,-59.0521126872,"38.74323001783592, -59.05211268720676"
,Uruguay,Uruguay,Montevideo,-34.9656280614,-44.6104579557,"-34.96562806143945, -44.610457955722225"
,Uzbekistan,Uzbekistan,Tashkent,40.3070798404,52.4492699707," 40.30707984035597, 52.44926997067246"
,Venezuela,Venezuela,Caracas,10.9216120057,-59.1531032797,"10.921612005678863, -59.15310327973462"
,Vietnam,Vietnam,Hanoi,22.5195156332,91.2141204871,"22.519515633195997, 91.21412048713711"
,United Kingdom,Wales,London,47.4921714058,-0.0580696367,"47.492171405800875, -0.05806963669922726"
,Yugoslavia,Yugoslavia,Belgrade,42.9883475527,14.7564734364,"42.98834755265135, 14.756473436426647"
,Zambia,Zambia,Lusaka,-16.8243630751,24.9487547746,"-16.82436307514718, 24.94875477462337"
,Zimbabwe,Zimbabwe,Harare,-19.1296216612,27.3103809384,"-19.129621661244197, 27.31038093835188"
