MACRO_REGION,REGION,COUNTRY,IWP PROGRAM,YEAR,FAMILY NAME,GIVEN NAME
The Americas,South America,Chile,Fall Residency,2003,COSTAMAGNA,Alejandra 
Asia,Eastern Asia,Mongolia,Fall Residency,2003,DASHNYAM,L.
Europe,Western Europe,Germany,Fall Residency,2003,GOERITZ,Matthias 
Europe,Northern Europe,Lithuania,Fall Residency,2003,GRAJAUSKAS,Gintaras 
Asia,South-eastern Asia,Vietnam,Fall Residency,2003,HOANG,Ly
Asia,Eastern Asia,China,Fall Residency,2003,HUA,Yun
Asia,Eastern Asia,South Korea,Fall Residency,2003,JEONG,Han-Yong 
Africa,Eastern Africa,Rwanda,Fall Residency,2003,KAYISHEMA,Jean-Marie
Asia,Eastern Asia,South Korea,Fall Residency,2003,KIM,Young-Ha
Asia,Eastern Asia,China,Fall Residency,2003,LI,Yan 
Asia,South-eastern Asia,Burma/Myanmar,Fall Residency,2003,MAUNG ,Swan Yi (U Win Pe)
Asia,Eastern Asia,Japan,Fall Residency,2003,MIZUMURA,Minae 
Europe,Eastern Europe,Ukraine,Fall Residency,2003,MYAGKA (KONONENKO),Evgenia
Asia,South-eastern Asia,Vietnam,Fall Residency,2003,NGUYEN,Quang Thieu
Europe,Northern Europe,United Kingdom,Fall Residency,2003,NORMINTON,Gregory 
Africa,Southern Africa,Botswana,Fall Residency,2003,SEBONI,Barolong
Europe,Eastern Europe,Poland,Fall Residency,2003,SENDECKI,Marcin
Europe,Southern Europe,Bosnia-Herzegovina,Fall Residency,2003,SIJARIC,Mirsad 
Europe,Eastern Europe,Hungary,Fall Residency,2003,SZÁNTÓ,Gábor T. 
Asia,Eastern Asia,South Korea,Fall Residency,2003,WONG-CHUN ,(Ethan) Kim 
Europe,Northern Europe,Ireland,Fall Residency,2003,WOODWORTH,Paddy 
Asia,South-central Asia,Uzbekistan,Fall Residency,2004,ABIDOV,Aazam
Africa,Middle Africa,Cameroon,Fall Residency,2004,AKOMBI,Samson Oke
Asia,Western Asia,Oman,Fall Residency,2004,AL SAIDI,Asim Mohamed
Africa,Northern Africa,Egypt,Fall Residency,2004,ALAIDY,Ahmed
Europe,Western Europe,Austria,Fall Residency,2004,BECKER,Zdenka
Asia,Western Asia,Israel,Fall Residency,2004,BERDUGO,Sami 
The Americas,South America,Argentina,Fall Residency,2004,CÁCERES,Victoria  
Asia,Eastern Asia,China,Fall Residency,2004,CHEN,Danyan
The Americas,South America,Chile,Fall Residency,2004,FOLCH,Kurt
Africa,Western Africa,Nigeria,Fall Residency,2004,HABILA,Helon
Europe,Eastern Europe,Slovakia,Fall Residency,2004,HVORECKY,Michal 
Asia,South-eastern Asia,Malaysia,Fall Residency,2004,JAAFAR,Khalid
Asia,Eastern Asia,South Korea,Fall Residency,2004,JO,Kyung-Ran
Asia,South-central Asia,Nepal,Fall Residency,2004,JOSHI,Amma Raj
Europe,Eastern Europe,Russia,Fall Residency,2004,KUROCHKIN,Maxim
Europe,Eastern Europe,Russia,Fall Residency,2004,KUZMIN,Dmitriy
Asia,Eastern Asia,South Korea,Fall Residency,2004,KWON,Ji-Ye
Asia,South-central Asia,Uzbekistan,Fall Residency,2004,MADALIEV,Sabit
Europe,Northern Europe,Ireland,Fall Residency,2004,MATTHEWS,Christopher
Asia,South-eastern Asia,Burma/Myanmar,Fall Residency,2004,MAUNG THA NOE,
Asia,Eastern Asia,China,Fall Residency,2004,MO,Yan
Asia,Western Asia,Turkey,Fall Residency,2004,ÖZTAS,Mahir
Oceania,Oceania,New Zealand,Fall Residency,2004,PLUMB,Vivienne
The Americas,South America,Bolivia,Fall Residency,2004,RIVERO,Giovanna
Africa,Eastern Africa,Rwanda,Fall Residency,2004,RURANGWA,Jean-Marie
Europe,Eastern Europe,Russia,Fall Residency,2004,SADUR,Yekaterina
Asia,Eastern Asia,Japan,Fall Residency,2004,SHIMADA,Masahiko
Europe,Southern Europe,Greece,Fall Residency,2004,STAMATIS,Alexis
Asia,Eastern Asia,China,Fall Residency,2004,TANG,Ying
Asia,South-central Asia,India,Fall Residency,2004,THACHOM POYIL,Rajeevan
Europe,Eastern Europe,Russia,Fall Residency,2004,ULANOV,Aleksandr
Europe,Eastern Europe,Russia,Fall Residency,2004,VOROZHBIT,Natalya
Europe,Eastern Europe,Poland,Fall Residency,2004,WIEDEMANN,Adam
Asia,Eastern Asia,China,Fall Residency,2004,ZHANG,Xian 
Asia,Western Asia,Georgia,Fall Residency,2004,ZHORDANIA,Sulkhan
Asia,South-central Asia,India,Fall Residency,2004,TIRUMALESH,V.K.
Asia,South-central Asia,India,Fall Residency,2005,TIRUMALESH,V.K.
Asia,Western Asia,Saudi Arabia,Fall Residency,2005,ABDULJABBAR,Nadia Yahia A
Africa,Eastern Africa,Kenya,Fall Residency,2005,ADHIAMBO,Yvonne Owuor
Asia,Western Asia,Kuwait,Fall Residency,2005,AHMED,Estabraq
Asia,Eastern Asia,China,Fall Residency,2005,CHI,Zijian
Europe,Southern Europe,Macedonia,Fall Residency,2005,DIMKOVSKA,Lidija
Europe,Western Europe,Netherlands,Fall Residency,2005,EL HAJI,Said
Europe,Western Europe,Germany,Fall Residency,2005,FATAH,Sherko
Asia,South-eastern Asia,Vietnam,Fall Residency,2005,HAI,Van Cam
Europe,Western Europe,Austria,Fall Residency,2005,HASLINGER,Josef
Asia,Western Asia,Israel,Fall Residency,2005,HASS,Sharon
Europe,Western Europe,Belgium,Fall Residency,2005,HEMMERECHTS,Kristien
Asia,South-central Asia,Sri Lanka,Fall Residency,2005,HUSSEIN,Ameena
Asia,Eastern Asia,South Korea,Fall Residency,2005,JUNG,Young-Moon
Asia,South-central Asia,Nepal,Fall Residency,2005,KANCHULI,Manju
Asia,Eastern Asia,South Korea,Fall Residency,2005,KIM,Ji-Woon
Asia,Western Asia,Israel/Palestine,Fall Residency,2005,KUNDUS,Zahiye
Asia,Eastern Asia,China,Fall Residency,2005,LIU,Heng
Oceania,Oceania,Australia,Fall Residency,2005,MATEER,John
Africa,Northern Africa,Libya,Fall Residency,2005,NEIHOUM,Laila
Asia,Eastern Asia,Japan,Fall Residency,2005,NOMURA,Kiwao
Europe,Eastern Europe,Hungary,Fall Residency,2005,PÉK,Zoltán
Africa,Northern Africa,Egypt,Fall Residency,2005,PRINCE,Mona
The Americas,Central America,Costa Rica/USA,Fall Residency,2005,QUESADA,Uriel
Asia,Eastern Asia,Hong Kong/India,Fall Residency,2005,RAO,Mani
Asia,South-central Asia,Kazakhstan,Fall Residency,2005,ROGOZHNIKOVA,Anna
Europe,Southern Europe,Kosova,Fall Residency,2005,SHUKRIU,Edi
Asia,Western Asia,Syria,Fall Residency,2005,SIREES,Nihad
Asia,South-eastern Asia,Malaysia,Fall Residency,2005,SODHY,Sandra
Europe,Southern Europe,Slovenia,Fall Residency,2005,STROJAN,Marjan
Asia,South-eastern Asia,Burma/Myanmar,Fall Residency,2005,THIDA,Ma
The Americas,South America,Colombia,Fall Residency,2005,UNGAR,Antonio
Asia,South-eastern Asia,Indonesia,Fall Residency,2005,UTAMI,Ayu
Oceania,Oceania,Australia,Fall Residency,2005,WRIGHT,Wendy Ella
Asia,Eastern Asia,South Korea,Fall Residency,2005,YIM,Phil-Seong
Asia,Eastern Asia,South Korea,Fall Residency,2005,YOO,Jae Hyun
Asia,Eastern Asia,Japan,Fall Residency,2005,YOSHIDA,Kyoko
Asia,Western Asia,Iraq,Fall Residency,2006,AL-RUBAIY,Fadhil Thamir
Asia,South-eastern Asia,Indonesia,Fall Residency,2006,AMAL,Nukila
Asia,South-central Asia,India,Fall Residency,2006,BANDYOPADHYAY,Srijato
Europe,Eastern Europe,Russia,Fall Residency,2006,BUTOV,Mikhail
Asia,Eastern Asia,South Korea,Fall Residency,2006,CHOI,Jung Lae
Europe,Northern Europe,Denmark,Fall Residency,2006,CLARK ,Mathilde
Europe,Southern Europe,Albania,Fall Residency,2006,COCOLI,Gentian
The Americas,South America,Uruguay,Fall Residency,2006,COURTOISIE,Juan Rafael
Asia,South-central Asia,Kyrgyzstan,Fall Residency,2006,DZHUSUBALIEVA,Zhamby
Africa,Northern Africa,Libya,Fall Residency,2006,ETWEBI,Ashur
Asia,Eastern Asia,China,Fall Residency,2006,FEIYU,Bi 
Europe,Eastern Europe,Russia,Fall Residency,2006,FILATOVA,Anna Vladimirovna
Europe,Northern Europe,Estonia,Fall Residency,2006,KAREVA,Doris
Europe,Northern Europe,United Kingdom/Iran,Fall Residency,2006,KHALVATILRAN,Mimi
Asia,Eastern Asia,South Korea,Fall Residency,2006,KIM,Byoung-Yong
Europe,Eastern Europe,Russia,Fall Residency,2006,KOPYLOVA,Polina
Asia,South-central Asia,Sri Lanka,Fall Residency,2006,KUMARASINGHE,Jagath Chandradasa
Europe,Western Europe,France,Fall Residency,2006,LAUGIER,Emmanuel
Asia,Western Asia,Palestinian Territories,Fall Residency,2006,MAZEN,Abdallah A.I.
Africa,Western Africa,Senegal,Fall Residency,2006,MBAYE,Marietou
Africa,Northern Africa,Egypt,Fall Residency,2006,MEGUID,Ibrahim Abdel
Asia,South-central Asia,Afghanistan,Fall Residency,2006,NADERI,Nasrallah Partaw
Oceania,Oceania,New Zealand,Fall Residency,2006,NORCLIFFE,James 
Asia,South-eastern Asia,Indonesia,Fall Residency,2006,PAMUNTJAK,Laksmi
Europe,Western Europe,Germany,Fall Residency,2006,PLETZINGER,Thomas
The Americas,Central America,Mexico,Fall Residency,2006,SANCHEZ GARZA,Jose Eugenio
Asia,South-central Asia,Bangladesh,Fall Residency,2006,SARKAR,Manju
Africa,Western Africa,Cote d'Ivoire,Fall Residency,2006,TADJO,Veronique
Asia,South-eastern Asia,Burma/Myanmar,Fall Residency,2006,U MOE ,Hein   
Europe,Eastern Europe,Russia,Fall Residency,2006,USYSKIN,Lev
Asia,Eastern Asia,China,Fall Residency,2006,YE,Lou
Europe,Eastern Europe,Russia,Fall Residency,2006,GOLUBOVICH,Ksenia
Europe,Eastern Europe,Russia,Fall Residency,2007,GOLUBOVICH,Ksenia
Europe,Eastern Europe,Czech Republic,Fall Residency,2007,ANDRONIKOVA,Hana
Asia,Eastern Asia,Mongolia,Fall Residency,2007,AYURZANA,G.
The Americas,South America,Argentina,Fall Residency,2007,BOSSI,Elena
Europe,Southern Europe,Greece,Fall Residency,2007,CHRYSSOPOULOS,Chris
Asia,South-eastern Asia,Indonesia,Fall Residency,2007,DEWANTO,Nirwan
Africa,Southern Africa,South Africa,Fall Residency,2007,DREYER,Tom
Africa,Northern Africa,Egypt,Fall Residency,2007,EL GAZZAR,Hamdy 
Asia,Western Asia,Israel,Fall Residency,2007,EPSTEIN,Alex
Europe,Eastern Europe,Hungary,Fall Residency,2007,GEHER,István László
Asia,South-eastern Asia,Malaysia,Fall Residency,2007,GHOZALI PK,Malim
Europe,Southern Europe,Greece,New Symposium,2007,HAVIARAS,Stratis
Europe,Southern Europe,Malta,Fall Residency,2007,INGUANEZ,Simone
Asia,Western Asia,Syria,Fall Residency,2007,KHALIFA,Khaled
Asia,South-eastern Asia,Burma/Myanmar,Fall Residency,2007,KHET,Mar
Asia,Eastern Asia,South Korea,Fall Residency,2007,KIM,Reon
Africa,Eastern Africa,Kenya,Fall Residency,2007,KIMANI,Peter
Asia,South-eastern Asia,Philippines,Fall Residency,2007,LACUESTA,Angelo R.
Asia,Eastern Asia,Taiwan,Fall Residency,2007,LO,Yi-Chin
The Americas,Caribbean,Jamaica,Fall Residency,2007,MILLER,Kei
Asia,South-central Asia,India,Fall Residency,2007,NAGARKAR,Kiran
Asia,South-central Asia,India,Fall Residency,2007,NAMBISAN,Kavery
The Americas,Caribbean,Haiti,Fall Residency,2007,PIERRE,Beaudelaine
Asia,Eastern Asia,Hong Kong,Fall Residency,2007,PUN,Lawrence
Asia,Eastern Asia,South Korea,Fall Residency,2007,RA,Heeduk
Asia,South-eastern Asia,Malaysia,Fall Residency,2007,RADHI,Al-Mustaqeem M.
Europe,Eastern Europe,Bulgaria,Fall Residency,2007,SHAKIR-TASH,Aziz Nazmi
Europe,Southern Europe,Montenegro,Fall Residency,2007,SPAHIC,Ognjen
Europe,Western Europe,Germany,Fall Residency,2007,STANISIC,Saša
Asia,South-eastern Asia,Singapore,Fall Residency,2007,TAY,Verena
Oceania,Oceania,New Zealand,Fall Residency,2007,TODD,Penelope
Asia,Western Asia,Jordan,Fall Residency,2008,AL ATRASH,Laila
Asia,South-Central Asia,Iran,Fall Residency,2008,ALA AMJADI,Maryam
Asia,Western Asia,Syria,Fall Residency,2008,BITAR,Haifa
Europe,Western Europe,Austria/Egypt,Fall Residency,2008,ELTAYEB,Tarek
Oceania,Oceania,New Zealand,Fall Residency,2008,FALKNER,Brian
The Americas,South America,Argentina,Fall Residency,2008,GAMERRO,Carlos
Asia,Western Asia,Israel,Fall Residency,2008,GLOBERMAN,Yael
Asia,South-Central Asia,Kazakhstan,Fall Residency,2008,GUDYM,Dina
The Americas,South America,Venezuela,Fall Residency,2008,HENRIQUEZ CONSALVI,Leonardo  
Asia,Eastern Asia,China,Fall Residency,2008,HU,Xudong
Asia,Eastern Asia,South Korea,Fall Residency,2008,KIM,Gyeongmee
Europe,Eastern Europe,Russia,Fall Residency,2008,KUCHERSKAYA,Maya
Asia,Eastern Asia,Hong Kong,Fall Residency,2008,LAM,Agnes
Asia,Eastern Asia,South Korea,Fall Residency,2008,LEE,Jang Wook
Europe,Southern Europe,Macedonia,Fall Residency,2008,MADZIROV,Nikola 
Europe,Western Europe,Germany/Iceland,Fall Residency,2008,MAGNUSSON (WEITEMEIER),Kristof
Asia,South-Eastern Asia,Philippines,Fall Residency,2008,MANGANSAKAN,Gutierrez
Africa,Southern Africa,South Africa,Fall Residency,2008,MHLONGO,Murhandziwa
Africa,Eastern Africa,Uganda,Fall Residency,2008,NAMUKASA,Glaydah
Europe,Eastern Europe,Romania,Fall Residency,2008,NELEGA,Alina   
Africa,Middle Africa,Cameroon,Fall Residency,2008,NKEMNGONG NKENGASONG,John
Asia,Western Asia,Israel,Fall Residency,2008,PICK,Anat
Asia,South-Central Asia,Bangladesh,Fall Residency,2008,RAHMAN,Ruby
Europe,Southern Europe,Italy,Fall Residency,2008,RAIMO,Veronica  
Europe,Southern Europe,Spain/Cuba,Fall Residency,2008,SAUNDERS CHILE,Felix Rogelio
Europe,Southern Europe,Greece,Fall Residency,2008,SKARAGAS,Ioannis (John)
The Americas,North America,Canada,Fall Residency,2008,THIEN,Madeleine
Europe,Southern Europe,Cyprus,Fall Residency,2008,TRILLIDIS,Yorgos
Africa,Western Africa,Nigeria,Fall Residency,2008,UMEZURIKE,Uchechukwu
Asia,South-Eastern Asia,Burma/Myanmar,Fall Residency,2008,WIN,Kyaw
Africa,Northern Africa,Egypt,Fall Residency,2008,ZAYDAN,Amena
,,Egypt,Fall Residency,2009,ABDEL-LATIF,Yasser
,,Jordan,Fall Residency,2009,ALABDALLAH,Yahya
,,Netherlands,Fall Residency,2009,ANKER,Jan-Willem
,,South Africa,Fall Residency,2009,CASE,Maxine
,,Sierra Leone,Fall Residency,2009,CONTEH,Osman
,,Wales,Fall Residency,2009,DAFYDD,Fflur
,,Hong Kong,Fall Residency,2009,DUNG,Kai Cheung
,,Croatia,Fall Residency,2009,DJURDJEVICH,Miloš 
,,China,Fall Residency,2009,GE,Fei
,,Jamaica,Fall Residency,2009,GRAHAM,Millicent
,,Armenia,Fall Residency,2009,GRIGORYAN,Violet
,,Philippines,Fall Residency,2009,GROYON,Vicente
,,China,Fall Residency,2009,HAN,Bo
,,Saudi Arabia,Fall Residency,2009,HIJAZI,Hanaa
,,Lithuania,Fall Residency,2009,IVASKEVICIUS,Marius
,,China,Fall Residency,2009,JIANG,Bin
,,India,Fall Residency,2009,KANDASAMY,Meena
,,South Korea,Fall Residency,2009,KANG,Youngsook
,,South Korea,Fall Residency,2009,KIM,Do Eon
,,South Korea,Fall Residency,2009,KIM,Soom
,,Burma/Myanmar,Fall Residency,2009,MIN,Htet Maung
,,Israel,Fall Residency,2009,MISHORI,Efrat
,,Iraq,Fall Residency,2009,NAJM,Soheil
,,Japan,Fall Residency,2009,NAKAJIMA,Kyoko
,,Netherlands,Fall Residency,2009,PEETERS,Hagar
,,Australia,Fall Residency,2009,PUNG,Alice
,,France,Fall Residency,2009,RACHEDI,Mabrouck
,,Switzerland,Fall Residency,2009,RAJCIC,Dragica
,,India,Fall Residency,2009,RAO,Mani
,,Pakistan,Fall Residency,2009,SAJJAD,Azeem
,,Venezuela,Fall Residency,2009,SANTAELLA,Fedosy
,,Ireland,Fall Residency,2009,SHITHIGH,Siobhan Ni
,,Uzbekistan,Fall Residency,2009,VAFO,Salomat
,,Austria,Fall Residency,2009,WEBER,Andreas
,,New Zealand,Fall Residency,2009,WHITE,Kathy
Africa,Northern Africa,Egypt,Fall Residency,2010,ABDEL AAL,Ghada
Oceania,Oceania,New Zealand,Fall Residency,2010,BAKER,Hinemoana
Africa,Western Africa,Nigeria,Fall Residency,2010,BALA,Ismail
The Americas,South America,Brazil,Fall Residency,2010,BETTEGA,Amlicar
Europe,Eastern Europe,Poland,Fall Residency,2010,BIEDRYZCKI,Milosz
Asia,South-eastern Asia,Philippines,Fall Residency,2010,CASOCOT,Ian Rosales
Europe,Eastern Europe,Russia,Fall Residency,2010,CHERCHESOV,Alan 
Asia,South-central Asia,India,Fall Residency,2010,CHODHURY,Chandrahas
Asia,Western Asia,Palestinian Territories,Fall Residency,2010,DARWISH,Najwan
Europe,Northern Europe,United Kingdom,Fall Residency,2010,FISH,Laura
Asia,Western Asia,Israel,Fall Residency,2010,GAFLA,Ofir Touche
The Americas,South America,Argentina,Fall Residency,2010,GARCES,Gonzalo
Oceania,Oceania,New Zealand,Fall Residency,2010,HILL,David  
Asia,South-central Asia,Bangladesh,Fall Residency,2010,HOQUE,Anisul
Asia,Eastern Asia,China,Fall Residency,2010,JIN,Renshun
Africa,Eastern Africa,Kenya,Fall Residency,2010,KAHORA,Billy Karanja
Europe,Western Europe,Germany,Fall Residency,2010,KAMPMANN,Anja
Africa,,Mauritius,Fall Residency,2010,KHOYRATTY,Farhad A.K. Sulliman
Asia,Eastern Asia,South Korea,Fall Residency,2010,KIM,Sa-In
Europe,Western Europe,Germany,Fall Residency,2010,KLOEBLE,Christopher
Asia,South-central Asia,Kyrgyzstan,Fall Residency,2010,MADILBAY,Turusbek
Europe,Eastern Europe,Belarus,Fall Residency,2010,MARTYSEVICH,Maryia
Europe,Northern Europe,Ireland,Fall Residency,2010,MCKIMM,Michael
Asia,South-central Asia,Pakistan,Fall Residency,2010,NAQVI,Husein
Asia,South-eastern Asia,Burma/Myanmar,Fall Residency,2010,NYO,Khin Maung
Asia,South-eastern Asia,Singapore,Fall Residency,2010,O,Thiam Chin
The Americas,South America,Argentina,Fall Residency,2010,OLOIXARAC,Pola
The Americas,,Venezuela,Fall Residency,2010,REGO,Beverly Perez
Asia,South-eastern Asia,Philippines,Fall Residency,2010,SAMAR,Edgar
Europe,Northern Europe,Netherlands,Fall Residency,2010,SHALA,Albana
Asia,South-central Asia,Iran,Fall Residency,2010,SIAHPOOR,Farangis
Europe,Northern Europe,Iceland,Fall Residency,2010,SIGURDSSON,Solvi Bjorn
Africa,,Djibouti,Fall Residency,2010,WATTA,Chehem
Asia,Eastern Asia,China,Fall Residency,2010,XU,Zechen
Asia,Eastern Asia,Taiwan,Fall Residency,2010,YING,Feng-Haung
Asia,South-central Asia,Nepal,Fall Residency,2011,BARAL,Ajit
Africa,Southern Africa,South Africa,Fall Residency,2011,BLOOM,Kevin
Asia,Eastern Asia,Vietnam,Fall Residency,2011,DOAN,Phuong
Europe,Western Europe,France,Fall Residency,2011,KANOR,Fabienne
The Americas,Caribbean,Grenada,Fall Residency,2011,KEMPADOO,Oonya
Africa,Western Africa,Nigeria,Fall Residency,2011,PROMISE,Ogochukwu
Europe,Northern Europe,Finland,Fall Residency,2011,PARKKO,Tommi
Europe,Eastern Europe,Russia,Fall Residency,2011,PETROVA,Alexandra
Asia,South-central Asia,India,Fall Residency,2011,RAMASWAMY,Usha
Oceania,Oceania,Australia,Fall Residency,2011,ROWE,Josephine
Asia,Western Asia,Jordan,Fall Residency,2011,SHOUFANI,Hind
The Americas,South America,Venezuela,Fall Residency,2011,SUNIAGA FIGUEROA,Francisco
Oceania,South-eastern Asia,Philippines,Fall Residency,2011,TOLEDO,Joel
The Americas,Caribbean,Haiti,Fall Residency,2011,VICTOR,Marvin
The Americas,South America,Argentina,Fall Residency,2011,CRISTOFF,Maria
Asia,Western Asia,Iraq,Fall Residency,2011,HASSAN,Naseer
Asia,South-central Asia,Burma/Myanmar,Fall Residency,2011,MIN,Aung Zaw
Africa,Southern Africa,South Africa,Fall Residency,2011,MOELE,Kgebetli
The Americas,South America,Colombia,Fall Residency,2011,QUINTANA VILLALOBOS,Maria Del Pilar
Asia,Western Asia,Pakistan,Fall Residency,2011,SHAH,Bina
Oceania,Oceania,New Zealand,Fall Residency,2011,HOOD,Lynley
Asia,Western Asia,Lebanon,Fall Residency,2011,HUMAYDAN,Iman
Asia,Eastern Asia,South Korea,Fall Residency,2011,LEE,Hye-Kyung
Asia,Western Asia,Israel,Fall Residency,2011,MANOR,Dory
Asia,Eastern Asia,China,Fall Residency,2011,SHEN'YOU,Mei
The Americas,South-central Asia,Tibet,Fall Residency,2011,NORBU,Jamyang
Europe,Eastern Europe,Czech Republic,Fall Residency,2011,ODA,Milena
Asia,Eastern Asia,South Korea,Fall Residency,2011,PARK,Chan Soon
Europe,Western Europe,Ireland,Fall Residency,2011,REGAN,Nell
Europe,Western Europe,Spain,Fall Residency,2011,ALVAREZ MENDEZ,Maria Eugenia
Asia,Western Asia,Israel,Fall Residency,2011,SAKAL,Moshik
Europe,Western Europe,United Kingdom,Fall Residency,2011,STRACHAN,Zoë
Asia,Eastern Asia,China,Fall Residency,2011,SU,Wei-Chen
Asia,Eastern Asia,Singapore,Fall Residency,2011,TIANG,Jeremy
Asia,Eastern Asia,China,Fall Residency,2011,TSE,Hiu Hung
Europe,Western Europe,United Kingdom,Fall Residency,2011,WELSH,Louise
Asia,Eastern Asia,China,Fall Residency,2011,ZHANG,Yueran
Asia,Eastern Asia,Singapore,Fall Residency,,SINGH,Kirpal
Asia,Eastern Asia,Singapore,Fall Residency,,THUMBOO,Edwin
Asia,Eastern Asia,Singapore,Fall Residency,,HALIN,Rasiah
Africa,Northern Africa,Egypt,Fall Residency,2012,ALBERRY,Khaled Abdelmoneim
Asia,Western Asia,Kuwait,Fall Residency,2012,ALREFAI,Taleb M E
Asia,Eastern Asia,Philippines,Fall Residency,2012,ASENJO,Genevieve Lampasa
Europe,Eastern Europe,Slovakia,Fall Residency,2012,BENOVA,Jana
The Americas,South America,Uruguay,Fall Residency,2012,BRAVO GALASSI,Luis Alberto
Asia,Eastern Asia,Hong Kong,Fall Residency,2012,CHAN,Chi Tak
Asia,Eastern Asia,South Korea,Fall Residency,2012,MYOUNG SOOK,Choi
The Americas,South America,Chile,Fall Residency,2012,CORREA MOLINA,Matias Ignacio
Asia,South-central Asia,Uzbekistan,Fall Residency,2012,DADAEVA,Alina
Africa,Southern Africa,Botswana,Fall Residency,2012,DEMA,Tjawangwa Prudence
The Americas,South America,Argentina,Fall Residency,2012,FALCO,Federico
Europe,Western Europe,Germany,Fall Residency,2012,FRICKE,Tanja
Europe,Eastern Europe,Russia,Fall Residency,2012,GANIEVA,Alisa
Asia,Eastern Asia,South Korea,Fall Residency,2012,KIM,Tae Soo
Oceania,Oceania,New Zealand,Fall Residency,2012,HOLMAN,Jeffrey
Europe,Eastern Europe,Belarus,Fall Residency,2012,KHADANOVICH,Andrei
Asia,South-Eastern Asia,Burma/Myanmar,Fall Residency,2012,KYAW,Nay Myo
Europe,Eastern Europe,Russia,Fall Residency,2012,LAVRENTYEV,Maxim
Asia,Eastern Asia,Taiwan,Fall Residency,2012,LIN,Chun-Ying
The Americas,South America,Brazil,Fall Residency,2012,GARCIA LOPES,Rodrigo
Europe,Southern Europe,Greece,Fall Residency,2012,LYACOS,Dimitrios
Africa,Eastern Africa,Zimbabwe,Fall Residency,2012,MLALAZI,Christopher
Asia,Western Asia,Iraq,Fall Residency,2012,AHMED,Gulala Noori
Asia,South-Eastern Asia,Burma/Myanmar,Fall Residency,2012,OO,Pyait Hlaing
Africa,,Mauritius,Fall Residency,2012,PYAMOOTOO,Parmeshiven
The Americas,South America,Venezuela,Fall Residency,2012,SOCORRO MORALES,Milagros Jose
Asia,Western Asia,Pakistan,Fall Residency,2012,TANWEER,Bilal
Asia,Western Asia,Saudi Arabia,Fall Residency,2012,ASIRI,Abdullah Yahya
Asia,Western Asia,Iran,Fall Residency,2012,YADALI JAMALOEI,Yaghoub
Asia,Eastern Asia,Singapore,Fall Residency,2012,YE,Stephanie Shulin
Asia,South-central Asia,Afghanistan,Fall Residency,2012,ZEGHAM,Mohibullah
Asia,Eastern Asia,China,Fall Residency,2013,ALAI,Xxx
Asia,Western Asia,Bahrain,Fall Residency,2013,ALSAEED,Ali
Asia,Eastern Asia,Singapore,Fall Residency,2013,LEE,Amanda
Asia,Eastern Asia,Indonesia,Fall Residency,2013,AMIN,Asmarini
Africa,Western Africa,Cote d'Ivoire,Fall Residency,2013,N'GUESSAN,Kessy
Oceania,Oceania,New Zealand,Fall Residency,2013,CLIFF,Craig
Europe,Eastern Europe,Hungary,Fall Residency,2013,B KISS,Denes
Europe,Eastern Europe,Russia,Fall Residency,2013,GOLYNKO,Dmitry
Asia,Western Asia,Israel,Fall Residency,2013,VOLK,Erez
,,Canada/Egypt/United Kingdom,Fall Residency,2013,EL SHARKAWY,Karem
Asia,Eastern Asia,South Korea,Fall Residency,2013,KIM,KyungUk
Asia,Eastern Asia,South Korea,Fall Residency,2013,KIM,Seoryung
Asia,Eastern Asia,Hong Kong,Fall Residency,2013,LEE,Chi Leung
The Americas,South America,Panama,Fall Residency,2013,MENDOZA PEREGRINA,Lilia
Asia,Western Asia,Iran,Fall Residency,2013,MOHEBALI,Mahsa
Asia,South-eastern Asia,Philippines,Fall Residency,2013,ANGELES,Mark
Europe,Northern Europe,Ireland,Fall Residency,2013,DYAR,Martin
Africa,Northern Africa,Egypt,Fall Residency,2013,SAID,Mohamed
Asia,Western Asia,Kuwait,Fall Residency,2013,ALFARES,Nada
Africa,Eastern Africa,Uganda,Fall Residency,2013,KATUMWA,Oscar
Europe,Southern Europe,Portugal,Fall Residency,2013,BRITO SUBTIL DE CARVALHO PORTELA,Patricia
The Americas,South America,Venezuela,Fall Residency,2013,BLANCO CALDERON,Rodrigo
Africa,East-central Africa,Burundi,Fall Residency,2013,RUGERO,Roland
Asia,Western Asia,Yemen,Fall Residency,2013,ALAREEQE,Sawsan
Asia,Western Asia,Pakistan,Fall Residency,2013,MINHAS,Shandana
Europe,Western Europe,Germany,Fall Residency,2013,URBAN,Christoph
Asia,South-central Asia,India,Fall Residency,2013,SWAMI,Sridala
Europe,Northern Europe,Finland,Fall Residency,2013,MANNINEN,Teemu
Europe,Northern Europe,Latvia,Fall Residency,2013,KREICBERGS,Toms
Asia,Eastern Asia,Taiwan,Fall Residency,2013,TONG,Wei-Ger
Asia,Eastern Asia,China,Fall Residency,2013,WANG,Jiaxin
Oceania,Oceania,New Zealand,Fall Residency,2013,HEREAKA,Whiti
Asia,Eastern Asia,Japan,Fall Residency,2013,NONAKA,Yui
Asia,South-Eastern Asia,Burma/Myanmar,Fall Residency,2013,AUNG,Myint
